 IMServer-push-listener2015 八月 27 20:23:10,153 INFO  org.ddpush.im.v1.node.pushlistener.NettyPushListener Netty TCP Push Listener nio provider: io.netty.bootstrap.ServerBootstrap
 IMServer-push-listener2015 八月 27 20:24:20,057 DEBUG io.netty.util.Recycler -Dio.netty.recycler.maxCapacity.default: 256
 org.ddpush.im.v1.node.udpconnector.UdpConnector-10742443552015 八月 27 20:24:20,100 DEBUG io.netty.util.ResourceLeakDetector -Dio.netty.leakDetectionLevel: paranoid
 org.ddpush.im.v1.node.udpconnector.UdpConnector-10742443552015 八月 27 20:29:47,743 DEBUG io.netty.util.internal.logging.InternalLoggerFactory Using SLF4J as the default logging framework
 main2015 八月 27 20:29:47,796 DEBUG io.netty.channel.MultithreadEventLoopGroup -Dio.netty.eventLoopThreads: 8
 main2015 八月 27 20:29:47,831 DEBUG io.netty.util.internal.PlatformDependent0 java.nio.Buffer.address: available
 IMServer-push-listener2015 八月 27 20:29:47,831 DEBUG io.netty.util.internal.PlatformDependent0 sun.misc.Unsafe.theUnsafe: available
 IMServer-push-listener2015 八月 27 20:29:47,831 DEBUG io.netty.util.internal.PlatformDependent0 sun.misc.Unsafe.copyMemory: available
 IMServer-push-listener2015 八月 27 20:29:47,831 DEBUG io.netty.util.internal.PlatformDependent0 java.nio.Bits.unaligned: true
 IMServer-push-listener2015 八月 27 20:29:47,831 DEBUG io.netty.util.internal.PlatformDependent Platform: Windows
 IMServer-push-listener2015 八月 27 20:29:47,846 DEBUG io.netty.util.internal.PlatformDependent Java version: 7
 IMServer-push-listener2015 八月 27 20:29:47,846 DEBUG io.netty.util.internal.PlatformDependent -Dio.netty.noUnsafe: false
 IMServer-push-listener2015 八月 27 20:29:47,846 DEBUG io.netty.util.internal.PlatformDependent sun.misc.Unsafe: available
 IMServer-push-listener2015 八月 27 20:29:47,846 DEBUG io.netty.util.internal.PlatformDependent -Dio.netty.noJavassist: false
 IMServer-push-listener2015 八月 27 20:29:47,846 DEBUG io.netty.util.internal.PlatformDependent Javassist: unavailable
 IMServer-push-listener2015 八月 27 20:29:47,846 DEBUG io.netty.util.internal.PlatformDependent You don't have Javassist in your class path or you don't have enough permission to load dynamically generated classes.  Please check the configuration for better performance.
 IMServer-push-listener2015 八月 27 20:29:47,846 DEBUG io.netty.util.internal.PlatformDependent -Dio.netty.tmpdir: C:\Users\taojiaen\AppData\Local\Temp (java.io.tmpdir)
 IMServer-push-listener2015 八月 27 20:29:47,846 DEBUG io.netty.util.internal.PlatformDependent -Dio.netty.bitMode: 64 (sun.arch.data.model)
 IMServer-push-listener2015 八月 27 20:29:47,846 DEBUG io.netty.util.internal.PlatformDependent -Dio.netty.noPreferDirect: false
 IMServer-push-listener2015 八月 27 20:29:47,950 DEBUG io.netty.channel.nio.NioEventLoop -Dio.netty.noKeySetOptimization: false
 IMServer-push-listener2015 八月 27 20:29:47,950 DEBUG io.netty.channel.nio.NioEventLoop -Dio.netty.selectorAutoRebuildThreshold: 512
 IMServer-push-listener2015 八月 27 20:29:48,036 INFO  org.ddpush.im.v1.node.udpconnector.UdpConnector udp connector port
 main2015 八月 27 20:29:48,163 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.numHeapArenas: 1
 main2015 八月 27 20:29:48,163 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.numDirectArenas: 1
 main2015 八月 27 20:29:48,164 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.pageSize: 8192
 main2015 八月 27 20:29:48,164 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.maxOrder: 11
 main2015 八月 27 20:29:48,164 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.chunkSize: 16777216
 main2015 八月 27 20:29:48,165 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.tinyCacheSize: 512
 main2015 八月 27 20:29:48,165 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.smallCacheSize: 256
 main2015 八月 27 20:29:48,165 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.normalCacheSize: 64
 main2015 八月 27 20:29:48,166 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.maxCachedBufferCapacity: 32768
 main2015 八月 27 20:29:48,166 DEBUG io.netty.buffer.PooledByteBufAllocator -Dio.netty.allocator.cacheTrimInterval: 8192
 main2015 八月 27 20:29:48,285 DEBUG io.netty.util.internal.ThreadLocalRandom -Dio.netty.initialSeedUniquifier: 0xb3386443a540b350 (took 56 ms)
 IMServer-push-listener2015 八月 27 20:29:48,456 DEBUG io.netty.buffer.ByteBufUtil -Dio.netty.allocator.type: unpooled
 IMServer-push-listener2015 八月 27 20:29:48,456 DEBUG io.netty.buffer.ByteBufUtil -Dio.netty.threadLocalDirectBufferSize: 65536
 IMServer-push-listener2015 八月 27 20:29:48,517 INFO  org.ddpush.im.v1.node.udpconnector.UdpConnector udp connector port:9966
 main2015 八月 27 20:29:48,961 DEBUG io.netty.util.NetUtil Loopback interface: lo (Software Loopback Interface 1, 127.0.0.1)
 IMServer-push-listener2015 八月 27 20:29:48,965 DEBUG io.netty.util.NetUtil \proc\sys\net\core\somaxconn: 200 (non-existent)
 IMServer-push-listener2015 八月 27 20:29:48,983 INFO  org.ddpush.im.v1.node.pushlistener.NettyPushListener Netty TCP Push Listener nio provider: io.netty.bootstrap.ServerBootstrap
 IMServer-push-listener2015 八月 27 20:29:53,236 DEBUG io.netty.util.Recycler -Dio.netty.recycler.maxCapacity.default: 256
 org.ddpush.im.v1.node.udpconnector.UdpConnector-9298541562015 八月 27 20:29:53,288 DEBUG io.netty.util.ResourceLeakDetector -Dio.netty.leakDetectionLevel: paranoid
 org.ddpush.im.v1.node.udpconnector.UdpConnector-9298541562015 八月 27 20:33:47,244 DEBUG io.netty.util.internal.logging.InternalLoggerFactory Using SLF4J as the default logging framework
 main2015 八月 27 20:33:47,316 DEBUG io.netty.channel.MultithreadEventLoopGroup -Dio.netty.eventLoopThreads: 8
 IMServer-push-listener2015 八月 27 20:33:47,352 DEBUG io.netty.util.internal.PlatformDependent0 java.nio.Buffer.address: available
 main2015 八月 27 20:33:47,354 DEBUG io.netty.util.internal.PlatformDependent0 sun.misc.Unsafe.theUnsafe: available
 main2015 八月 27 20:33:47,355 DEBUG io.netty.util.internal.PlatformDependent0 sun.misc.Unsafe.copyMemory: available
 main2015 八月 27 20:33:47,356 DEBUG io.netty.util.internal.PlatformDependent0 java.nio.Bits.unaligned: true
